duration,c_0001,c_0002,v_149,ob_reason,ob_age,ob_realEstate,ob_debt,ob_invest,ob_saving,ob_feelingRisk,ob_investPriority,ob_scenario,check_portfolioId,sim_ethnicity,sim_general,sim_gender,sim_age,sim_language,trust_general,trust_contact,trust_relationship,trust_care,trust_understand,trust_warmth,competence_general,competence_capable,competence_skillful,competence_intelligent,bene_values,bene_honest,bene_respect,li_implement,li_improvements,li_better,lic_amount,sat_happy,sat_right,sat_satisfied,benef_hurt,benef_needs,benef_help,benef_important,benef_welfare,recomm_propensity,loy_choose,loy_best,loy_loyal,lif_portion,learn_learn,learn_improve,learn_skills,att_bestInterest,att_trustworthy,att_ownInterest,att_commissions,fwb_situation,fwb_left,fwb_behind,person_reserved,person_lazy,person_stress,person_artistic,person_sociable,person_fault,person_through,person_nervous,person_imagination,patience154,patience185,patience202,patience210,patience215,patience206,patience193,patience197,patience189,patience169,patience177,patience181,patience173,patience161,patience165,patience158,patience125,patience139,patience146,patience150,patience143,patience132,patience136,patience129,patience112,patience119,patience122,patience116,patience106,patience109,patience103,patience_general,literacy1,literacy2,literacy3,literacy4,literacy5,literacy6,literacy7,check_portfolioType,check_advisorType,dem_gender,dem_ethnicity,dem_usResidence,dem_financialAdvisorUsage,dem_education,income,cond_race,cond_matching,cond,person_trusting
873,0.75,2,5d1e2045a37a4d001a1fc2cb,4,23,0,0,200,100,3,4,2,2,7,5,7,3,5,7,7,6,7,6,5,7,6,6,7,7,7,7,6,7,6,30,7,7,7,7,7,7,7,7,100,7,7,7,15,7,7,6,7,5,5,5,1,7,1,6,2,6,7,3,3,4,3,7,1,1,1,1,1,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,6,3,1,3,3,2,2,2,3,1,1,2,1,2,5,10000,black,matching,"black, matching",6
1189,0.5,2,611291090e626fdfde536f38,1,38,0,26000,450,40,2,4,1,2,7,3,7,5,6,5,4,4,5,6,5,5,5,4,6,4,3,5,5,4,4,30,5,5,5,5,3,3,3,3,61,3,5,3,10,5,7,5,5,4,6,5,7,2,7,5,6,3,6,2,7,3,6,7,1,1,1,1,1,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,4,3,1,3,3,2,2,1,2,1,1,2,1,1,5,25000,black,matching,"black, matching",2
1547,0.5,2,61731c0ef27028acbfbbf972,3,24,250000,0,20000,500,2,2,3,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,45,7,7,7,7,7,7,7,7,99,7,7,7,85,7,7,7,7,7,3,3,1,6,1,7,1,7,1,7,1,7,1,7,2,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,2,-77,-77,-77,-77,-77,-77,-77,1,1,2,-77,-77,-77,-77,7,3,1,3,3,2,1,3,2,2,1,2,1,1,6,99000,black,matching,"black, matching",7
2341,0.625,1,63133ea72702295da02ddae1,2,33,20000,0,20000,1000,2,4,2,2,5,5,5,5,5,5,5,4,6,5,5,5,5,4,6,5,4,6,2,5,4,40,5,6,6,3,5,5,4,6,61,5,5,5,40,6,4,5,5,5,5,6,5,3,5,5,2,2,6,6,2,2,2,6,1,1,1,1,1,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,5,2,1,1,2,1,2,2,2,1,1,2,1,1,6,150000,black,matching,"black, matching",5
1082,0.125,2,5d6376ec7e447f001c971315,1,65,50000,0,100,50,1,2,1, 2,7,4,1,3,7,4,4,2,4,4,5,4,4,4,4,4,4,4,1,4,2,90,4,4,4,1,4,2,4,4,0,1,1,1,0,3,6,1,4,4,7,7,7,1,7,4,2,6,1,2,2,4,1,7,1,2,-77,-77,-77,-77,-77,-77,-77,2,-77,-77,-77,2,-77,1,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,4,3,1,3,3,3,3,3,2,2,2,2,1,2,3,0,black,matching,"black, matching",1
999,0.625,2,5bddd64b48428800013061a6,1,41,0,3000,10000,1000,2,3,3,I didn't see a portfolio ID,7,6,7,7,7,6,6,5,5,6,6,7,7,7,7,6,6,7,6,6,6,50,7,7,6,6,6,5,6,6,85,6,6,6,60,7,7,6,4,4,4,6,3,4,4,4,3,4,1,5,5,5,5,7,1,2,-77,-77,-77,-77,-77,-77,-77,2,-77,-77,-77,2,-77,1,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,6,3,1,3,3,2,1,1,2,2,1,2,1,2,5,55000,black,matching,"black, matching",2
1364,0.25,2,6080506f48d21d24010d64aa,3,68,795000,252000,300000,0,1,2,2,2,7,4,1,1,7,4,3,3,5,6,2,6,6,4,7,4,4,4,5,3,3,95,4,4,4,2,2,2,2,2,50,2,2,2,5,3,7,2,2,2,2,2,1,1,1,6,1,6,1,7,1,7,2,7,2,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,1,1,1,1,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,6,3,1,3,3,2,1,1,2,2,2,2,1,2,5,150000,black,matching,"black, matching",6
645,0.25,1,5e21e741f814784d3180f004,2,42,0,0,2000,500,2,1,2,preserve capital?,7,1,1,1,1,4,1,1,1,1,1,4,4,4,4,4,4,4,1,1,1,85,1,1,1,4,4,4,4,1,2,1,1,1,1,1,1,1,4,4,5,5,7,6,6,1,1,1,1,1,1,1,7,7,1,2,-77,-77,-77,-77,-77,-77,-77,1,1,2,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,1,3,1,3,1,2,2,2,1,1,2,2,1,2,5,25000,black,matching,"black, matching",1
1290,0,2,5d7ff4aa50fda7001a863736,1,23,0,3400,200,250,1,1,1,2,7,3,1,3,6,6,5,3,6,7,4,7,7,7,7,7,7,7,6,5,6,75,5,6,6,7,6,6,7,4,80,6,7,4,60,5,7,6,7,6,3,4,6,3,7,7,7,4,1,1,1,6,7,7,1,1,1,1,1,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,4,3,3,2,3,3,1,1,1,1,2,2,1,2,2,38000,black,matching,"black, matching",6
495,0.25,1,58fe1c529dc84a000134e24e,3,49,0,15000,100000,2500,1,2,2,2,7,7,1,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,7,7,7,7,7,7,7,7,100,7,7,7,85,7,7,7,6,6,2,2,1,7,1,5,1,7,1,6,1,6,1,7,1,1,1,1,1,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,5,2,1,3,2,2,2,1,1,1,2,2,1,1,5,50000,black,matching,"black, matching",6
